Product Category,Product Link,Name,New Price,Old Price,Discount,Image Source
Fit Right,http://yayvo.com/pack-of-two-printed-pakistani-t-shirts.html,Pack Of Two Printed Pakistani T.Shirts,Rs.999,None,None,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/7/c/7c37354ee718b15d21a437027bfa3dc5_6.jpg
Naviforce,http://yayvo.com/naviforce-nf9133-black-white-stainless-steel-quartz-watch-for-man.html,NAVIFORCE NF9133 Black & White Stainless Steel Quartz Watch For Man,"Rs.3,250","Rs.4,645",30%,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/1/0/10c1cef1eade36e78f3457dcd6fe0891_1.JPG
Fit Right,http://yayvo.com/pakistan-printed-cotton-t-shirt.html,Pakistan Printed Cotton T-Shirt,Rs.399,None,None,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/a/6/a62a339b4a9a91152e50dc8b9d8e5a73_5.jpg
Karachi Kings,http://yayvo.com/blue-round-neck-t-shirt-kk-002.html,Official Digital Printed Round Neck 2018 T-shirt -KK-002,Rs.149,Rs.399,63%,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/8/5/8531612842e8373d397659496d2bf349_14.jpg
Virtuals,http://yayvo.com/hum-sub-ka-pakistan-prted-t-shirt-tshirt.html,Hum Sub Ka Pakistan Prted T-Shirt Tshirt,"Rs.4,995",None,None,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/5/d/5d47ec6a43cd81074c8b5d893f11d1a4_2.jpg
Naviforce,http://yayvo.com/naviforce-nf9089-silver-golden-choronograph-watch-for-man.html,NAVIFORCE NF9089 SILVER & GOLDEN CHRONOGRAPH WATCH FOR MEN,"Rs.4,400","Rs.8,800",50%,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/4/9/490272dadc44fde8c392d3f1e897dbdc_3.jpg
Regal Outfit,http://yayvo.com/pack-of-two-pakistan-t-shirt-for-him.html,PAck of Two Pakistan T-Shirt for Him,Rs.599,Rs.999,40%,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/d/9/d94136e64e815f5cc5f2c09b280d3f30_5.jpeg
Bhimani's,http://yayvo.com/mancare-pure-cotton-underwear-white.html,Mancare Pure Cotton Underwear-White,Rs.110,Rs.129,15%,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/b/2/b2f3a7a37c53c9b3ea4c37f8df54e416.jpg
Regal Outfit,http://yayvo.com/pack-of-two-pakistan-independance-t-shirts-for-boys.html,Pack of two Pakistan Independance T-Shirts for Boys,Rs.999,"Rs.1,299",23%,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/b/b/bb3c6384a7f3d11ee83d6ef2f680cdd8_5.jpeg
Maqbool And Sons,http://yayvo.com/white-vest-with-sleeves.html,WHITE VEST WITH SLEEVES,Rs.135,None,None,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/5/c/5cec9b1041a6f3ce56e09d24e32d1b57_1.jpg
Regal Outfit,http://yayvo.com/pack-of-four-pakistan-deal-for-him.html,Pack of four Pakistan Deal for Him,Rs.999,"Rs.1,500",33%,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/e/0/e0c0a4ef5deb30a4c2955e08f78337b3_4.jpeg
Fit Right,http://yayvo.com/pack-of-two-cotton-prted-pakistani-t-shirts.html,Pack Of Two Cotton Prted Pakistani T.Shirts,Rs.999,"Rs.1,300",23%,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/1/a/1a57c23515661900b90b8e74a277c703_4.jpg
tomi,http://yayvo.com/tomi-t092-blacked-elegant-watch-for-men.html,TOMI T092 Blacked Elegant Watch For Men,"Rs.1,450","Rs.2,900",50%,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/6/4/6461183089ca012271ae87d2a8482dd0_2.JPG
Virtuals,http://yayvo.com/pakistan-prted-t-shirttshirt.html,Pakistan Prted T-Shirttshirt,"Rs.4,995",None,None,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/3/f/3f645bce6dd50facc084b7735e1c32d2.jpg
Otterbox,http://yayvo.com/kola-puri-chappal-qbh-006.html,KOLA PURI CHAPPAL QBH-006,Rs.899,None,None,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/e/8/e806be5f7dbf8bae360f2a7d529a6d2d_3.JPG
Fit Right,http://yayvo.com/pack-of-two-prted-pakistani-t-shirt.html,Pack Of Two Prted Pakistani T-Shirt,Rs.599,"Rs.1,300",54%,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/6/a/6adbd711ba277e52661469286a8bfd03_4.jpg
tomi,http://yayvo.com/tomi-t074-brown-black-stylish-quartz-electronic-watch-for-men.html,TOMI T074 Brown & Black Stylish Quartz Electronic Watch For Men,"Rs.1,450","Rs.2,900",50%,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/0/7/0759d5c79045aa52d3b095fcb19f40ab_2.jpg
Regal Outfit,http://yayvo.com/regal-outfit-14th-august-pakistan-t-shirt-for-him-4.html,Regal Outfit 14th August Pakistan t Shirt for Him,Rs.350,Rs.500,30%,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/2/7/27a8b2fc538fa74fb5cca32e4265438a_4.jpeg
tomi,http://yayvo.com/tomi-t084-black-silver-leather-watch-for-men-women.html,TOMI T084 Black & Silver Leather Watch For Men & Women,"Rs.1,600","Rs.3,200",50%,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/7/d/7d9bf5b581bc233bfa0de452546a9a67_2.JPG
Maqbool And Sons,http://yayvo.com/sando-vest-white.html,SANDO VEST WHITE,Rs.130,None,None,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/0/4/046dcd32bf3f012f4646743ff4e66908_1.jpg
Regal Outfit,http://yayvo.com/regal-outfit-14th-august-pakistan-t-shirt-for-him.html,Pakistan Day T-Shirt,Rs.319,Rs.599,47%,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/f/0/f0980ec9fdef93615771817378606a71_5.jpeg
Other,http://yayvo.com/fit-right-14th-august-pakistan-t-shirt-for-him.html,Fit Right 14th August Pakistan t Shirt for Him,Rs.350,None,None,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/4/3/4381618cc5207b5d898eb11f94f0f61e_4.jpg
Charji Shop,http://yayvo.com/navy-blue-breathable-see-through-boxer-underwear.html,Navy Blue Breathable See Through Boxer Underwear,Rs.690,None,None,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/8/d/8d35202a3657cabdd9ce3617767246de_2.jpg
VeerJeePK,http://yayvo.com/pack-of-3-white-cotton-vests-for-men-12.html,Pack of 3-White Cotton Vests for Men-S,Rs.540,Rs.900,40%,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/1/c/1cbf0c0a040596b439635763dc9b83f5_2.jpg
Charji Shop,http://yayvo.com/black-breathable-see-through-boxer-underwear.html,Black Breathable See Through Boxer Underwear,Rs.690,None,None,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/5/7/5700cc5be2f214d0840d56285c150f8b_2.jpg
Tool Shop,http://yayvo.com/black-calculator-watch-for-kids.html,Black Calculator Watch for Kids,Rs.283,Rs.499,43%,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/6/5/65c31922717e55303f747abdbbd63f26_4.jpg
Tool Shop,http://yayvo.com/10-solid-color-best-selling-flash-toy-sword-with-light-and-sound.html,10 Solid color best selling flash toy sword with light and sound,Rs.799,"Rs.1,000",20%,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/a/6/a64237db241e6f2d15e559ebbe62fdea_2.jpg
IGNITE,http://yayvo.com/navy-stretch-chino-kids-pant-7.html,Navy Stretch Chino Kids Pant,Rs.699,Rs.999,30%,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/e/3/e3ac7e4c3e26054883d5806b147cf976_2.jpg
IGNITE,http://yayvo.com/sky-blue-kids-shirt-1.html,Sky Blue Kids Shirt,Rs.499,Rs.999,50%,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/1/d/1d5f01e6c11edb1f8c66e5ad0937f2ff_2.jpg
Muzammil Store,http://yayvo.com/safe-foam-shampoo-cap-for-children-bathing-shower-cap.html,Safe Foam Shampoo Cap For Children Bathing Shower Cap,Rs.480,None,None,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/7/1/7128b289adde375860dae77289f1fd83.jpg
Tool Shop,http://yayvo.com/construction-manual-trick-toy-for-kids-boy.html,Construction Manual Trick Toy for kids Boy,Rs.399,Rs.450,11%,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/0/3/038460ac6026641e6acbbadb99f7c533.jpg
eCloud,http://yayvo.com/pair-of-shoes-for-cute-baby-girls-red-4.html,Pair Of Shoes For Cute Baby Girls - Red,Rs.380,Rs.500,24%,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/7/0/70c189318e8eff4b59f1870ca3c3aa11_3.jpg
Tool Shop,http://yayvo.com/analog-watch-for-kids-36.html,Analog Watch for Kids,Rs.299,Rs.500,40%,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/5/3/53d8445e3f0966bbac7d2a4932625f5b.jpg
PQWH,http://yayvo.com/emart-kettle-sk-9769-fine-condition.html,Emart Kettle SK 9769 Unsealed,"Rs.4,799",None,None,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/a/5/a563cc192a7bd39a646eb8c769fae5af_1.jpg
Jackpot,http://yayvo.com/jp-717b-dry-iron-damage.html,JP-717B - Dry Iron,"Rs.1,650",None,None,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/d/c/dcea1a3295b60b7e0279db2f1bbebbdc_3.jpg
Jack Pot,http://yayvo.com/jack-pot-toaster-jp-862c-box-damage-expired-warranty-scratches.html,Jack Pot Toaster JP-862C - Box Damage - Expired Warranty - Scratches,"Rs.1,349","Rs.1,499",10%,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/a/7/a7d96e5191eea39de08648c7872155f7.jpg
Tool Shop,http://yayvo.com/national-panasonic-iron-non-plate-1000w-3.html,National Panasonic Iron Non-Plate 1000w,"Rs.2,999","Rs.4,006",25%,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/f/7/f7b1beb6782f08bdbfd2653658462e30_3.jpg
Net World,http://yayvo.com/white-portable-rechargeable-fan-with-led-power-bank.html,White Portable Rechargeable Fan With LED Power Bank,Rs.998,"Rs.1,348",26%,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/2/d/2d6065c432323804b6e2cb703b94d65c_7.jpg
First Choice,http://yayvo.com/first-choice-face-mask-7.html,First Choice washable  Face Mask( black),Rs.80,None,None,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/d/b/db44eccf0d5211abd68ba47c6a6a3878_1.jpg
Ducare,http://yayvo.com/hand-sanitizer-kills-99-9-germs-without-water-80ml-3.html,Hand Sanitizer - Kills 99.9% Germs - Without Water - 80ml,Rs.200,Rs.250,20%,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/7/e/7e782153e6540cc5109d3252c39965d2.jpg
Purity,http://yayvo.com/purity-hand-sanitzer-hygiene-ocean-antibacterial-kills-99-9-germs-non-sticky-60ml.html,Hand Sanitizer Hygiene + Ocean Antibacterial - Kills 99.9% Germs - Non Sticky - 60ml,Rs.199,Rs.250,20%,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/1/0/10af2a7ab2acd9fbb96594ddc0f7fac2_4.jpeg
Lifebuoy,http://yayvo.com/life-buoy-hand-sanitizer-55ml-with-moisturiser-vitamin-e-kill-99-9-of-germs-3.html,Hand Sanitizer 55ml with Moisturiser & Vitamin E kill 99.9% of germs,Rs.375,Rs.499,25%,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/e/3/e30277bb2927c6247a7460c10251fa0c_4.jpg
Macho,http://yayvo.com/deodrant-soap-sport-110gm-3.html,Deodrant Soap(Sport) 110gm,Rs.69,None,None,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/e/7/e700053e177a88e09f14b05fed325f89_14.jpg
Lucky classic,http://yayvo.com/lucky-classic-hand-sanitizer-advanced-formula-vitamin-e-kills-germs-without-water-50ml-3.html,Hand Sanitizer - Advanced Formula - Vitamin E - Kills Germs Without Water - 50ml,Rs.199,Rs.250,20%,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/a/a/aa6f6c6e8bf650b5a628b3a05af664dc_3.jpeg
Lucky classic,http://yayvo.com/lucky-classic-kids-hand-sanitizer-advanced-formula-vitamin-e-kills-germs-without-water-50ml-3.html,Kids Hand Sanitizer - Advanced Formula - Vitamin E - Kills Germs Without Water - 50ml,Rs.199,Rs.299,33%,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/a/b/ab3d825195ea7f0e2e9416bffae596aa_3.jpeg
Net World,http://yayvo.com/4-in-1-facial-steamer-inhaler-humidifier-white-blue-3.html,4-in-1 - Facial Steamer Inhaler & Humidifier - White & Blue,"Rs.1,499","Rs.1,875",20%,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/9/f/9f22eef130209cda1be63a6d5974874a_7.jpg
Kemei,http://yayvo.com/km-680a-8-in-1-facial-body-grooming-system-3.html,KM-680A-8 in 1 Facial & Body Grooming System,"Rs.1,750","Rs.2,750",36%,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/4/3/4317173a90eb7ad726ad0f42dacc17c6_3.jpg
Vatika,http://yayvo.com/almond-enriched-hair-oil-softness-shine-200ml-1.html,Almond Enriched Hair Oil Softness & Shine-200Ml,Rs.250,Rs.380,34%,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/3/d/3dcf0c8191be793b3ed41464c603d31d_3.jpg
Ideal Fashion Shop,http://yayvo.com/veet-precision-electric-hair-trimmer-shaper-for-eyebrows-facial-hair-bikini-line-underarm-bag-battery-included-all-in-1-hair-removal-3.html,"Veet Precision Electric Hair Trimmer & Shaper for Eyebrows, Facial Hair, Bikini Line, & Underarm, Bag & Battery Included,-All in 1 Hair Removal",Rs.550,Rs.950,42%,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/f/9/f923a33cdf659871405bc68b2bec9874.jpg
Relaxsit,http://yayvo.com/black-dice-stool.html,Black Dice Stool,Rs.990,"Rs.1,150",14%,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/2/f/2fdff7a566508bf104f4c5c5fff0b5a1.jpg
Kids Image,http://yayvo.com/lavender-floral-bed-sheet.html,Lavender Floral Bed Sheet,"Rs.1,299",None,None,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/0/e/0e4e7bdf0e2a981a25066cbe6b964654_3.jpg
Salt Lamps,http://yayvo.com/crafted-oval-salt-lamp-beautiful-salt-lamp.html,Crafted Oval Salt Lamp Beautiful Salt Lamp,"Rs.1,300","Rs.1,600",19%,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/0/0/004aac214a1221bfd04f6983a6f4d812.jpg
Bosi,http://yayvo.com/12pcs-yellow-black-tool-set.html,12Pcs Yellow & Black Tool Set,"Rs.2,999","Rs.3,500",14%,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/0/8/08cad6841e23e7f40442e2030b5910d1_5.jpg
Otterbox,http://yayvo.com/3-watt-creea-175-lumen-rechargeable-led-lantern.html,3 Watt CREE¢ 175 Lumen Rechargeable LED Lantern,"Rs.1,401",None,None,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/8/9/890b32d54f183920c9a6de7a33d27a1c_7.jpg
Online Product,http://yayvo.com/anti-dust-pollution-face-mask-3pcs-black.html,Anti Dust Pollution Face Mask - 3Pcs - Black,Rs.400,Rs.500,20%,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/b/5/b503a34b362670154148106f4003085a_2.jpg
Tool Shop,http://yayvo.com/tool-shop-mini-drill-kit-with-box-130w-52-pcs-accessories-4.html,Tool Shop Mini Drill Kit with Box - 130W - 52 Pcs Accessories,"Rs.3,999","Rs.4,500",11%,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/9/5/9553477c1154286968287877db91633e_4.jpg
Premier Home,http://yayvo.com/magpie-dolomite-silver-soap-dish.html,Magpie Dolomite Silver Soap Dish,"Rs.1,325",None,None,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/e/a/ea2408e62f921981be8152f837cefd33_9.jpg
Tool Shop,http://yayvo.com/92-pcs-professional-tool-set-with-copper-electric-drill-550w-13mm.html,92 Pcs Professional Tool Set with Copper Electric Drill 550W - 13mm,"Rs.6,999","Rs.10,000",30%,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/5/5/5511abb075beb7c94a17da7e5cb7d77d.jpg
Tool Shop,http://yayvo.com/19-inch-yellow-black-home-tool-box.html,19 Inch - Yellow & Black Home Tool Box,"Rs.2,999","Rs.4,000",25%,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/5/d/5db829561904927cb52b0927ab9f3fe9_3.jpg
Logitech,http://yayvo.com/ingco-86-pcs-tool-kit-orange-black.html,Ingco 86 Pcs Tool Kit - Orange & Black,"Rs.6,999","Rs.10,000",30%,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/3/1/3185dbe0ffb2dcaced744526c8be358b_2.jpg
Relaxsit,http://yayvo.com/bean-bag-refilling-polystyrene-beans-500-grams-75-liters.html,Bean Bag Refilling Polystyrene Beans - 500 Grams (75 Liters),Rs.525,None,None,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/d/9/d926e52bab9d1669350ee85dc715f942.jpg
Khas stores,http://yayvo.com/single-bed-sheet-r2g-16182.html,Single Bed Sheet  R2G 16182,Rs.926,"Rs.1,425",35%,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/f/c/fc1291914d67336f81a930e87fec4f54_4.jpg
Ahsan Dry Fruit,http://yayvo.com/ispaghol-indian-bhoosi-250gm.html,Ispaghol (Indian Bhoosi) - 250gm,Rs.500,Rs.600,17%,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/9/f/9fe898f32860160715b8207467bf1194_1.jpeg
Khas stores,http://yayvo.com/pop-flower-1pc-king-size-quilt-cover-1000000017705.html,Pop Flower 1Pc King Size Quilt Cover-1000000017705,"Rs.3,269","Rs.5,029",35%,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/d/f/df97a876acd9c5067df0f443cefe4ecb_8.jpg
Strings,http://yayvo.com/special-edition-strings-poster.html,Special Edition Framed Strings Poster,"Rs.1,499",None,None,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/a/4/a48ad09acb6325767ddd0d1233f40cc8_3.jpg
HB Traders,http://yayvo.com/pack-of-5-ball-fiber-cushion-export-quality.html,Pack of 5 Ball Fiber Cushion Export Quality - Multicolor,Rs.790,"Rs.1,750",55%,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/7/a/7a2671e0490f499c341663ae497abc36_4.jpg
PQWH,http://yayvo.com/chopper-grey-plastic-hp019-fine-condition.html,Chopper Grey Plastic HP019 Unsealed,Rs.999,None,None,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/f/f/ff046a8841600328246d9d893ead3729_1.jpg
