Product Category,Product Link,Name,New Price,Old Price,Discount,Image Source
King Store,http://yayvo.com/nursery-baby-chair-12.html,Nursery Baby Chair,Rs.680,None,None,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/2/c/2c0257c79361248df75f8fb9afff0630_4.jpg
Sitara,http://yayvo.com/regency-strip-4-bed-n-bag-set-red.html,Regency Strip 4 - Bed N Bag Set - Red,"Rs.7,622",None,None,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/7/a/7a867c1cf251b6f4d79ac350ae910076_5.jpg
PQWH,http://yayvo.com/white-food-chopper-oxo-012-scratches-on-product.html,White Food Chopper   OXO 012 Scratches on Product Unsealed,"Rs.1,999",None,None,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/0/2/02b56bd529c0895681659293b148a4fa_1.jpg
Omart,http://yayvo.com/150ft-magic-hose-with-7-spray-gun-function.html,150ft Magic Hose With 7 Spray Gun Function,"Rs.1,299","Rs.1,499",13%,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/a/f/af5e4b3c51749fd6268ef1f5d7e0b96d.jpg
Stripy Interior,http://yayvo.com/pakistani-flag-chusion.html,Pakistani Flag Chusion,Rs.599,None,None,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/c/b/cb74364b8c3963ca6c9bc0ecb9b5bc71_1.jpg
Relaxer Bean Bags,http://yayvo.com/flag-smiley-bean-bag-sml-06-a.html,Flag Smiley Bean Bag - SML 06 A,"Rs.3,399","Rs.4,999",32%,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/5/1/51cbac6f2b9a55ac4eb223afe65e3a54_6.jpg
Khas stores,http://yayvo.com/multicolour-pillow-covers-19-x-29-9-1000000015842.html,multicolour PILLOW COVERS	19 x 29+9''-1000000015842,Rs.835,"Rs.1,285",35%,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/2/6/26c1181c3ce7f2ea2a495813a355fa9e_11.jpg
Khas stores,http://yayvo.com/bath-sheet-plain-d-blue-dyed-90x150-cm.html,Bath Sheet Plain D/Blue Dyed 90X150 CM,Rs.759,"Rs.1,168",35%,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/7/3/7335d31a2e7e4407fe15db8f8da645ea_6.jpg
Relaxsit,http://yayvo.com/polyester-fleece-tv-blanket-with-sleeves-blue-4.html,Polyester Fleece Tv Blanket With Sleeves-Blue,Rs.599,"Rs.2,000",70%,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/d/c/dc472f23c638041b91aecbe13d7cfdb0_3.jpg
Yayvo,http://yayvo.com/thai-heart-shape-lamp-red.html,Thai Heart Shape Lamp Red,"Rs.1,299",None,None,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/2/a/2ab649d7659180930463d2ab31fad993.jpg
Khas stores,http://yayvo.com/bath-sheet-plain-sage-dyed-90x150-cm.html,Bath Sheet Plain Sage Dyed 90X150 CM,Rs.759,"Rs.1,168",35%,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/8/8/88ce40353e94d1e6d6268fa722793fff_6.jpg
Yayvo,http://yayvo.com/roof-top-pakistan-glag.html,Roof Top Pakistan Flag,Rs.140,Rs.281,50%,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/6/d/6d28de5cc0d97ac55b8fd696848d6fef_9.jpg
Living Style,http://yayvo.com/12v-300-psi-portable-auto-electric-car-pump-air-compressor-tire-inflator-tool.html,12V 300 PSI Portable Auto Electric Car Pump Air Compressor Tire Inflator Tool,"Rs.1,120",None,None,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/b/0/b0ae9724ce679081b5d94fde7ff74dcb_5.jpg
Yayvo,http://yayvo.com/thai-pendant-lamp.html,Thai Pendant Lamp,Rs.499,None,None,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/f/2/f28c5839db3eafc3f81ba374474c11fe.jpg
Home n Baby,http://yayvo.com/luxury-hand-towel-5-piece-rose.html,Luxury Hand Towel - 5 piece - Rose,Rs.600,Rs.800,25%,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/1/7/17b4ca172a68d8d936d56eb14315bf29.jpg
Sitara,http://yayvo.com/grey-sitara-diamond-bedsheet-08-double.html,Grey Sitara Diamond Bedsheet 08 - Double,"Rs.1,057",None,None,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/3/3/33459423c0fb93ced70039b8ea911bdf_2.jpg
Top Shops,http://yayvo.com/3-pcs-led-full-color-rotating-lamp.html,3 Pcs Led Full Color Rotating Lamp,Rs.718,"Rs.1,200",40%,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/e/0/e0c1a561a19491145aeba34c0424c597_3.jpg
Safety,http://yayvo.com/safety-disposable-latex-examination-gloves-lightly-powdered-100-gloves-medium.html,Disposable Latex Examination Gloves - Lightly Powdered -100 Gloves - Medium,"Rs.1,599","Rs.1,699",6%,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/d/4/d4a03c8ec200976e0fdec6ea891a0507_1.jpg
Protiex,http://yayvo.com/protiex-latex-examination-gloves-powdered-non-sterlie-quantity-100-gloves-large.html,Protiex Latex Examination Gloves - Powdered Non Sterlie - Quantity 100 Gloves - Large,"Rs.1,499","Rs.1,600",6%,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/0/b/0b61d6825ff60e03f5234f2c60fa59d9_5.jpeg
HomeShopper,http://yayvo.com/original-110-vigrx-plus-in-pakistan-with-authentication-code-usa-imported.html,Original 110% VigRX Plus in Pakistan with Authentication Code - USA Imported,"Rs.9,500","Rs.16,500",42%,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/e/1/e195b1e6f367a8b87e5ca3202a83e34f_5.jpg
Qarshi,http://yayvo.com/tila-muqavi-shahi-8-ml-qarshitilamuqavishahi8ml.html,TILA MUQAVI SHAHI 8 ML-QarshiTILAMUQAVISHAHI8ML,Rs.250,None,None,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/8/e/8e5261bd33b8b8cff703750577056c55_10.jpg
Qarshi,http://yayvo.com/qarshi-anti-fat-75-qurs.html,Qarshi Anti Fat 75 Qurs,Rs.260,None,None,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/8/4/8423a88b1ba509e70b41a973b9f75075_11.jpg
Acon USA,http://yayvo.com/blue-on-call-ketone-strips-676strip.html,Blue On call Ketone strips -676strip,"Rs.1,675","Rs.2,200",24%,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/7/0/7097ecb806241b4a7e36b0f363cdf0c0_12.jpg
AL-KAREEM,http://yayvo.com/beauty-body-mobile-gym-6-pack-ems-2.html,Beauty Body Mobile Gym 6 Pack Ems,"Rs.1,250","Rs.1,999",37%,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/8/2/8237ea786fc2b748ec2292525c8f057f.jpg
Cobra,http://yayvo.com/black-cobra-125-mg-sex-timing-for-men.html,Black Cobra 125 mg Sex Timing for Men (5 tablet),Rs.149,None,None,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/0/d/0d46ec27fbcff615f6c083c1bbb32685_9.jpg
Qarshi,http://yayvo.com/qarshi-jam-e-shirin-800ml-pack-of-6-s.html,Qarshi Jam-e-Shirin- 800ml Pack of 6's,"Rs.1,320",None,None,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/0/3/03ce390ac907c164c0c70a9506d9c650_4.jpg
Qarshi,http://yayvo.com/tila-musakan-no-1-8-ml-qarshitilamusakanno18ml.html,Tila Musakan No. 1 8 ML-QarshiTilaMusakanNo18ML,Rs.180,None,None,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/5/4/540e49b2d20a111681e62cba28a9b801_7.jpg
Online Butt Services,http://yayvo.com/original-vega-100-mg-tablet-for-men-sex-timing-3.html,Original Vega 100 mg Tablet For Men Sex Timing (4 Tablet),Rs.149,None,None,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/a/7/a7e80a42668e3b395d82201f75f6e848_5.jpg
Warsan Homoeo Laboratories,http://yayvo.com/moov-plus-ointment.html,Moov Plus Ointment,Rs.88,Rs.110,20%,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/2/6/26f856940e05ed32def6c3e66dfc0bfc.JPG
Qarshi,http://yayvo.com/laboob-khas-jawahar-dar-100-grams-qarshilaboobkhasjawahardar100grams.html,LABOOB KHAS JAWAHAR DAR 100 Grams-QarshiLABOOBKHASJAWAHARDAR100Grams,Rs.635,None,None,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/a/1/a13de496f2b209d07af78b1bb38bf37f_9.jpg
Qarshi,http://yayvo.com/qarshi-imsaki-jawahardar-cap-10-cap-3.html,Qarshi Imsaki Jawahardar Cap 10 Cap,Rs.215,None,None,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/1/5/15081c9a6714724bf72cbdb73714a17c_7.png
United,http://yayvo.com/2-pair-protection-latex-rubber-gloves-2.html,2 Pair Protection Latex Rubber Gloves,Rs.199,None,None,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/a/0/a06b0b42ca6a6b85afbc85fc73403748.jpg
Qarshi,http://yayvo.com/qarshi-lal-sharbat-240-ml.html,Qarshi Lal Sharbat 240 Ml,Rs.150,None,None,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/f/a/fa3763774bee623f147df4c8df294d01_5.jpg
HibaLife,http://yayvo.com/buy-injeer-online-anjeer-paste-hiba-life.html,Buy Injeer Online | Anjeer Paste | Hiba Life,Rs.675,None,None,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/7/a/7a9fc1160431da4347f0c5ac161d316b.jpg
Pakistan Store,http://yayvo.com/sathi-plus-saathi-delay-condoms-15-3-pieces-5-1-packet-buy-5-get-1-free.html,Sathi Plus Saathi Delay Condoms 15+3 pieces (5+1 Packet) Buy 5 Get 1 FREE,Rs.342,Rs.450,24%,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/d/3/d3a58d9d116e8fd2cb20fa4172cfad67_1.jpg
Pakistan Store,http://yayvo.com/touch-delay-condoms-a-12-pieces-4-packet.html,Touch Delay Condoms 12 pieces (4 Packet),Rs.248,Rs.300,17%,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/4/f/4fb3958bd8cc220f37436e9b5bad6b26_2.png
Asaan Sports,http://yayvo.com/set-of-3-soft-bat-tennis-ball-and-steel-wickets-set-for-7-8-year-kids.html,"Set of 3 - Soft Bat, Tennis Ball & Steel Wickets Set for 7-8 Year Kids",Rs.975,"Rs.1,050",7%,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/7/5/7535af2dc72ddc71e4b6c2f1e5df36f6.jpg
ACCU-CHEK,http://yayvo.com/accu-chek-instant-s-blood-sugar-test-system-with-10-strips-free.html,Accu Chek Instant S Blood sugar test System With 10 Strips Free,"Rs.1,750","Rs.2,500",30%,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/0/5/058cde0ccba1855e6fbd9a0e4aef57ff.png
As seen on tv,http://yayvo.com/universal-supports-waist-trimmer-belt-blue-20.html,Universal Supports Waist Trimmer Belt- Blue,Rs.925,"Rs.1,350",31%,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/4/9/49e1adb29eb40f1f5ce9294912c7979b.jpg
Cool & Cool,http://yayvo.com/adult-wipes-40-s-8.html,Adult Wipes 40'S,Rs.416,None,None,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/7/8/783c4f1e163b83d335f566bba8383300_2.jpg
Other,http://yayvo.com/anti-dust-face-mouth-nose-mask-mix-color.html,"Anti Dust Face, Mouth & Nose Mask - Mix color",Rs.100,Rs.150,33%,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/2/f/2f4dfb01fce8545f3234fce0c8115ec6_2.jpg
Cool & Cool,http://yayvo.com/sanitizing-wipes-15-s.html,Sanitizing wipes 15's,Rs.250,None,None,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/2/b/2b2dcd154ad99c0e531489ce0b3af956.jpg
Dalda,http://yayvo.com/dalda-cooking-oil-bottle-4-5ltr.html,Dalda Cooking Oil Bottle 4.5Ltr,"Rs.1,499",None,None,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/f/7/f734a3f0339fd9cfc390e4541e299c11_1.jpg
Morinaga,http://yayvo.com/morinaga-bf-1-400gm.html,Morinaga BF 1 - 400gm,"Rs.1,138","Rs.1,165",2%,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/1/a/1a628ee60c23a7fdee326ca4619eb4db_1.jpg
BONAPAPA,http://yayvo.com/bonapapa-xxl.html,Bonapapa - XXL,"Rs.1,250","Rs.1,298",4%,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/f/8/f82676b89947c3c7bcc37e885640e26e_1.jpg
Jazaa Foods,http://yayvo.com/1kg-silver-premium-basmati-rice.html,1KG Silver Premium Basmati Rice,Rs.240,None,None,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/8/4/84aa1ab7bcc6084db8a860df2b050a5a.jpg
Kitchen Made,http://yayvo.com/tomoto-ketchup-500gm.html,Tomoto Ketchup-500gm,Rs.109,None,None,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/e/8/e86cfba4f8d9f576489066c65f698602.jpg
Morinaga,http://yayvo.com/morinaga-bf-3-900gm-8.html,Morinaga BF 3 - 900gm,"Rs.2,601","Rs.2,695",3%,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/3/e/3ed7a020aab280a41907c82ae8de39a7_1.jpg
Nido,http://yayvo.com/nido-bunyad-900gm.html,Nido bunyad - 900gm,Rs.841,Rs.860,2%,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/6/e/6e1bd57c4ae8b9231757ada37ebd2d95_1.jpg
Tux Premium,http://yayvo.com/pack-of-2-multicolor-luxury-serviettes.html,Pack of 2 Multicolor & Luxury Table Napkins,Rs.295,None,None,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/9/2/927bb2850019dad4a211f56d2a3a122c_7.jpg
Meiji,http://yayvo.com/big-vanilla-milk-900gm.html,BIG Vanilla Milk - 900gm,"Rs.2,388","Rs.2,500",4%,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/4/7/475c954a51b9a845ba1ad3dc62d86479.jpg
BONAPAPA,http://yayvo.com/bonapapa-xl.html,Bonapapa - XL,"Rs.1,063","Rs.1,099",3%,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/3/5/35eac68ab861018fb16a8781d79e07a8_1.jpg
Tux Premium,http://yayvo.com/pack-of-2-pop-up-ease.html,Pack of 2 Pop Up & Ease,Rs.250,None,None,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/d/f/df589367c997e852bf6dc6aa219d6f29_9.jpg
Brooke Bond,http://yayvo.com/supreme-tea-950g.html,Supreme Tea 950g,"Rs.1,249",None,None,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/b/0/b0fdbaa4b2788a0bbfb05e38220d6d06_3.png
Nestle,http://yayvo.com/lactogen-1-400gm-4.html,Lactogen 1 - 400gm,Rs.653,Rs.675,3%,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/4/8/48f3c3be3539304249276dab019fbb70_1.jpg
Pediasure,http://yayvo.com/pediasure-vanilla-400gm.html,Pediasure Vanilla - 400gm,"Rs.1,312","Rs.1,348",3%,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/b/a/ba1e87d1d44fe3024e2304c9caf94f3a_1.jpg
Nido,http://yayvo.com/nido-1-400gm.html,Nido 1+ 400gm,Rs.635,Rs.655,3%,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/a/5/a5235d11966530065ca27e53ebd8471a_1.jpg
Nestle,http://yayvo.com/nestle-everyday-950gm.html,Nestle Everyday - 900gm,"Rs.1,099",None,None,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/f/c/fceb7cc816b73e5268d741d695ab9821_3.jpg
Ensure,http://yayvo.com/ensure-strawberry-400gm.html,Ensure Strawberry - 400gm,"Rs.1,494","Rs.1,538",3%,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/0/f/0f60fbcd9775c3fe530da93c1167136b_1.jpg
BONAPAPA,http://yayvo.com/bonapapa-medium.html,Bonapapa - Medium,Rs.938,Rs.955,2%,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/e/d/ed71af9969687f0ba9f52bae18fe699a_1.jpg
Tux Premium,http://yayvo.com/pack-of-2-square-dawat-pack.html,Pack of 2 Square & Dawat Pack,Rs.240,None,None,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/d/c/dc1e3ae56ad15d5571ec2924352356c1_9.jpg
SOFT,http://yayvo.com/soft-3-600gm.html,Soft 3 - 600gm,"Rs.1,106","Rs.1,140",3%,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/e/e/ee58afbba1cbeea8acaf4c30469d1add_1.jpg
Meiji,http://yayvo.com/meiji-fu-400gm-follow-up-formula-milk-powder.html,Meiji Fu 400gm Follow Up Formula milk powder,"Rs.1,129","Rs.1,250",10%,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/2/9/29c8b6b012010ead7d06677ec20287d8.jpg
Tux Premium,http://yayvo.com/pack-of-4-grand-100-dawat-pack.html,Pack of 4 Grand 100 & Dawat Pack,Rs.460,None,None,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/8/4/8476dfcbaf5e7d2c0d6f43d9e43b3c6c_9.jpg
Olper's,http://yayvo.com/olpers-milk-carton-1litr-x-12.html,Olpers Milk Carton - 1Litr x 12,"Rs.2,199",None,None,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/6/2/620873efab2be6f59f881521b72f4554.jpg
SOFT,http://yayvo.com/soft-3-900gm.html,Soft 3 - 900gm,"Rs.1,588","Rs.1,610",1%,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/3/8/38e28093701d6abf331a0236a69f08bc_1.jpg
Nestle,http://yayvo.com/lactogen-recover.html,Lactogen recover,Rs.394,Rs.415,5%,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/4/d/4dd5537715efb0e2a46ead9424e15d02_1.jpg
Morinaga,http://yayvo.com/morinaga-bf-3-400gm.html,Morinaga BF 3 - 400gm,"Rs.1,138","Rs.1,160",2%,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/d/e/ded15636f935f8de2ae03db0b76f3b59_1.jpg
Mehran,http://yayvo.com/plum-chutni-400-gm.html,Plum Chutni - 400 gm,Rs.202,Rs.225,10%,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/e/0/e00a5e8a749436b96aec5a2dcfa94df0_1.jpg
Morinaga,http://yayvo.com/morinaga-soft-3-300gm.html,Morinaga soft 3 - 300gm,Rs.582,Rs.610,5%,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/5/d/5d0471617fe2323fadd24d6c5d1904ac_1.jpg
Nido,http://yayvo.com/fortigrow-910gm.html,fortigrow - 910gm,"Rs.1,106","Rs.1,130",2%,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/3/f/3ff653adc0cf2636657b84ed91ee9f1b_1.jpeg
Nestle,http://yayvo.com/lactogrow-3-400gm.html,Lactogrow 3 - 400gm,Rs.676,Rs.700,3%,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/9/0/908542f039a362041110dbd36061a15f_1.jpg
Nido,http://yayvo.com/nido-1-kg.html,Nido 1+ kg,"Rs.1,435","Rs.1,460",2%,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/b/5/b53ea134cd726546663fcbabf66b20fb_1.jpg
